sample,fastq_1,fastq_2,strandedness
CONTROL_REP1,data/raw/pladienolideb/2022-038_S10_L001_R1_001.fastq.gz,,forward
CONTROL_REP1,data/raw/pladienolideb/2022-038_S10_L002_R1_001.fastq.gz,,forward
CONTROL_REP2,data/raw/pladienolideb/2022-039_S11_L001_R1_001.fastq.gz,,forward
CONTROL_REP2,data/raw/pladienolideb/2022-039_S11_L002_R1_001.fastq.gz,,forward
CONTROL_REP3,data/raw/pladienolideb/2022-040_S12_L001_R1_001.fastq.gz,,forward
CONTROL_REP3,data/raw/pladienolideb/2022-040_S12_L002_R1_001.fastq.gz,,forward
PladB_1mM_REP1,data/raw/pladienolideb/2022-041_S13_L001_R1_001.fastq.gz,,forward
PladB_1mM_REP1,data/raw/pladienolideb/2022-041_S13_L002_R1_001.fastq.gz,,forward
PladB_1mM_REP2,data/raw/pladienolideb/2022-042_S14_L001_R1_001.fastq.gz,,forward
PladB_1mM_REP2,data/raw/pladienolideb/2022-042_S14_L002_R1_001.fastq.gz,,forward
PladB_1mM_REP3,data/raw/pladienolideb/2022-043_S15_L001_R1_001.fastq.gz,,forward
PladB_1mM_REP3,data/raw/pladienolideb/2022-043_S15_L002_R1_001.fastq.gz,,forward
PladB_10mM_REP1,data/raw/pladienolideb/2022-044_S16_L001_R1_001.fastq.gz,,forward
PladB_10mM_REP1,data/raw/pladienolideb/2022-044_S16_L002_R1_001.fastq.gz,,forward
PladB_10mM_REP2,data/raw/pladienolideb/2022-045_S17_L001_R1_001.fastq.gz,,forward
PladB_10mM_REP2,data/raw/pladienolideb/2022-045_S17_L002_R1_001.fastq.gz,,forward
PladB_10mM_REP3,data/raw/pladienolideb/2022-046_S18_L001_R1_001.fastq.gz,,forward
PladB_10mM_REP3,data/raw/pladienolideb/2022-046_S18_L002_R1_001.fastq.gz,,forward
