"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Ciz1","MmuINT1007210","chr2:32371102-32371248",0.427319490741016,0.972,1.95979488156051,0
"Cfap45","MmuINT0030673","chr1:172527916-172529809",0.413068771992028,0.978666666666667,2.43238007270398,0
"Braf","MmuINT0025556","chr6:39610405-39614131",0.32337487509183,0.956666666666667,2.32155114127629,0.03
"Ankzf1","MmuINT0015941","chr1:75195257-75195599",-0.319807951267351,0.996,2.14251312996792,0.01
"Pdzrn3","MmuINT0117702","chr6:101157013-101169133",0.273099359789825,0.976,2.38924009112355,0.01
"Hgh1","MmuINT0025852","chr15:76370254-76370331",0.239753784395835,0.963333333333333,2.24298738556419,0
"Acox1","MmuINT0009959","chr11:116175385-116178119",-0.239064305527031,0.960666666666667,2.17708552829463,0
"Ccdc93","MmuINT0031454","chr1:121477898-121480814",-0.221253117188561,0.99,2.98617978421594,0
"Baz1a","MmuINT0024079","chr12:54898799-54899999",-0.19194997395598,0.99,3.05161918676113,0.02
"Chchd3","MmuINT0035470","chr6:32804026-32852144",0.179040664156231,0.958666666666667,2.05754053855105,0
"Krt84","MmuINT1022000","chr15:101530272-101530828",-0.142245356720532,0.982666666666667,2.60435302200809,0
"RP23-35O24.3","MmuINT1028525","chr10:19293836-19297452",-0.135773709692491,0.992,3.14787225543961,0
"Srrd","MmuINT1032171","chr5:112337742-112337975",0.135112350329242,0.95,1.88700725035845,0
"A730082K24Rik","MmuINT1003202","chr7:114951342-114958026",0.123144062997549,0.973333333333333,2.39092805978409,0
"Elf1","MmuINT0056765","chr14:79536423-79560746",-0.115204277230521,0.968666666666667,2.18558770152312,0.02
"Slc5a2","MmuINT1031539","chr7:128271251-128271748",0.112640086363364,0.992666666666667,3.24709479507501,0
"Zfp957","MmuINT1035807","chr14:79214470-79223378",-0.103149261600651,0.974666666666667,2.65008512112124,0
"Wdr33","MmuINT1035093","chr18:31833735-31835383",-0.100946919460233,0.994,2.32766552244746,0
"Snx22","MmuINT0150090","chr9:66069258-66069605",0.0959482825005128,0.958666666666667,2.8408528088926,0.05
"Crbn","MmuINT1007602","chr6:106781111-106781702",0.0913096652452908,0.986666666666667,3.02411956633394,0
"Vil1","MmuINT0172932","chr1:74421456-74421560",-0.0853881630360499,0.998666666666667,2.63024219861504,0
"Mrpl45","MmuINT1023386","chr11:97325758-97326781",-0.081878381863231,0.984666666666667,3.12496011637702,0
"Gm3143","MmuINT1016537","chr3:34699678-34700818",0.0809714521960463,0.956,2.45864229786703,0.03
"Tctn1","MmuINT1032859","chr5:122241836-122242605",-0.0733632892329772,0.951333333333333,1.82115374929034,0
"Gcat","MmuINT0068044","chr15:79031121-79033930",-0.0471914025671991,0.954,2.12703530894979,0
"Phf1","MmuINT0118655","chr17:26933535-26934193",-0.0356155743563408,0.967333333333333,2.31033725673102,0
"Pecr","MmuINT0117782","chr1:72262064-72267406",0.0263570158991714,0.997333333333333,3.51290231741869,0
"Parl","MmuINT0115314","chr16:20287953-20293353",-0.0154837337028022,0.956,2.19509050909077,0
"Lhx8","MmuINT0090918","chr3:154316839-154321626",0.0132632535798046,0.974666666666667,2.81640058671542,0.03
