"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Gm15941","MmuALTD1036540-2/2","chr15:37432242-37432653",0.322429616827285,0.988666666666667,2.68215282784864,0
"Gm15941","MmuALTD1036540-1/2","chr15:37432414-37432653",-0.322429616827285,0.988666666666667,2.68215282784864,0
"Gtf2f1","MmuALTD1001106-2/4","chr17:57004125-57004177",-0.275921889109294,0.999333333333333,2.27049042907664,0
"Gtf2f1","MmuALTD1001106-3/4","chr17:57004122-57004177",0.275921889109294,0.999333333333333,2.27049042907664,0
"Tmem171","MmuALTA0018369-2/3","chr13:98686235-98686516",-0.256089269304069,0.968666666666667,2.72598692231347,0
"Tmem171","MmuALTA0018369-3/3","chr13:98686235-98686519",0.245939236267034,0.956666666666667,2.24187475071804,0
"Fen1","MmuALTD0005510-3/6","chr19:10203688-10203894",-0.226433331767843,0.961333333333333,2.51518077024953,0.01
"Dnm2","MmuALTA0005691-1/2","chr9:21506336-21506399",-0.20683416472174,0.95,2.14905188050823,0.04
"Rbm6","MmuALTA0014992-2/2","chr9:107853360-107853674",-0.18161591515218,0.958666666666667,2.48398534460038,0
"Rbm6","MmuALTA0014992-1/2","chr9:107853360-107853403",0.18161591515218,0.958666666666667,2.48398534460038,0
"Nos1","MmuALTD0009468-1/2","chr5:-117781148",0.154247844485148,0.955333333333333,2.4287971672268,0
"Nos1","MmuALTD0009468-2/2","chr5:-117781159",-0.154247844485148,0.955333333333333,2.42879716722681,0
"Trappc8","MmuALTA0018786-2/3","chr18:20865950-20866203",0.147295963311365,0.983333333333333,3.0859898521028,0.01
"Zfyve21","MmuALTA0020818-1/2","chr12:111825579-111825632",0.135734651637229,0.962666666666667,2.2674178678827,0.02
"Zfyve21","MmuALTA0020818-2/2","chr12:111825576-111825632",-0.135734651637229,0.962666666666667,2.2674178678827,0.02
"Parl","MmuALTD0009929-2/2","chr16:20293298-20293402",0.040368893361284,0.979333333333333,2.27530018849252,0
"Parl","MmuALTD0009929-1/2","chr16:20293354-20293402",-0.0403688933612839,0.979333333333333,2.27530018849251,0
