"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Madd","MmuALTA0010414-2/2","chr2:91167043-91167167",0.427456155166078,0.967333333333333,3.10165011512986,0
"Madd","MmuALTA0010414-1/2","chr2:91167043-91167163",-0.427456155166078,0.967333333333333,3.10165011512986,0
"Slc25a14","MmuALTD0012938-3/4","chrX:48623962-48624197",-0.400334237954124,0.982666666666667,2.78449437862339,0.01
"Tmem151a","MmuALTD1033064-2/4","chr19:5071655-5071894",0.331250693819909,0.975333333333333,2.23075152344045,0
"Tmem151a","MmuALTD1033064-1/4","chr19:5071727-5071894",-0.331250693819909,0.975333333333333,2.23075152344045,0
"Tsc22d1","MmuALTA1009404-1/2","chr14:76439956-76440340",0.308456506788138,0.990666666666667,2.32923071918776,0
"Tsc22d1","MmuALTA1009404-2/2","chr14:76439909-76440340",-0.308456506788138,0.990666666666667,2.32923071918776,0
"Cyfip2","MmuALTD1005609-1/2","chr11:46274638-46274742",0.289810111960398,0.996,2.23894407448313,0
"Cyfip2","MmuALTD1005609-2/2","chr11:46274401-46274742",-0.289810111960398,0.996,2.23894407448313,0
"Sp110","MmuALTA1041411-2/2","chr1:85589114-85589191",0.289302090955265,0.972,2.02993132249332,0
"Sp110","MmuALTA1041411-1/2","chr1:85589114-85589181",-0.289302090955265,0.972,2.02986404216329,0
"Gga1","MmuALTD0005882-2/7","chr15:78891951-78892078",0.286517176741652,0.950666666666667,2.5409362468433,0
"Gga1","MmuALTD0005882-4/7","chr15:78891951-78892086",-0.286517176741652,0.950666666666667,2.5409362468433,0
"Zmiz1","MmuALTA0020859-2/2","chr14:25646717-25647007",0.24085861090944,0.951333333333333,2.1082352292944,0.01
"Zmiz1","MmuALTA0020859-1/2","chr14:25646735-25647007",-0.23673035147747,0.953333333333333,2.06917157209557,0.01
"Zfp944","MmuALTD1042869-2/3","chr17:22361168-",-0.234822716905083,0.954666666666667,2.08918504187657,0
"Zfp944","MmuALTD1042869-1/3","chr17:22361342-",0.221811087822151,0.954,2.07467624437171,0
"Baz2b","MmuALTA0002670-2/3","chr2:59978675-59978701",-0.218162508705653,0.988666666666667,2.32216835515811,0
"Baz2b","MmuALTA0002670-3/3","chr2:59978675-59978707",0.218162508705653,0.988666666666667,2.32216835515811,0
"Ranbp17","MmuALTA0014823-1/3","chr11:33452444-33470125",0.204094184480434,0.966,1.83487896235479,0
"Golga3","MmuALTD0006143-1/4","chr5:-110176922",0.197611607647555,0.988,2.74682043363327,0.02
"Cul4b","MmuALTD0003790-4/4","chrX:38564769-38565106",-0.172387767192397,0.963333333333333,2.43530341562184,0
"Golga3","MmuALTD0006143-2/4","chr5:-110177049",-0.1655218355703,0.988,2.66867420636383,0.02
"Lrig2","MmuALTA0010183-1/4","chr3:104462659-104462787",0.142011894067244,0.994666666666667,2.9206475730906,0
"Lrig2","MmuALTA0010183-2/4","chr3:104462659-104462808",-0.142011894067244,0.994666666666667,2.9206475730906,0
"RP24-189I2.5","MmuALTD1041706-1/2","chr9:75342752-",-0.132848980060574,0.974666666666667,2.26377615471216,0
"RP24-189I2.5","MmuALTD1041706-2/2","chr9:75342617-",0.132848980060574,0.974666666666667,2.26377615471217,0
"Ctcf","MmuALTA0004757-1/2","chr8:105680074-105680259",-0.128840527580967,0.968,2.88092561892955,0.03
"Ctcf","MmuALTA0004757-2/2","chr8:105680071-105680259",0.128840527580966,0.968,2.88092561892955,0.03
"B4galt4","MmuALTD0002004-1/2","chr16:38763069-38763129",-0.115183491483606,0.984666666666667,3.08719909494608,0
"B4galt4","MmuALTD0002004-2/2","chr16:38763069-38763191",0.115183491483606,0.984666666666667,3.08719909494608,0
"Anapc11","MmuALTD0001281-5/7","chr11:-120598870",-0.114005815107821,0.965333333333333,2.205330423469,0.02
"Fam192a","MmuALTD1019153-2/5","chr8:94601497-94601551",0.113226427689246,0.991333333333333,2.1623206898416,0
"Cdca2","MmuALTA0003700-2/2","chr14:67693626-67693754",0.110311462449902,0.982666666666667,2.216763855689,0
"Cdca2","MmuALTA0003700-1/2","chr14:67693626-67693751",-0.110311462449902,0.982666666666667,2.216763855689,0
"Ube2o","MmuALTD0015127-1/2","chr11:116545121-116545125",-0.109239323659928,0.958666666666667,1.76761430618284,0
"Ube2o","MmuALTD0015127-2/2","chr11:116545046-116545125",0.109239323659928,0.958666666666667,1.76761430618284,0
"Add1","MmuALTA0001225-1/3","chr5:34629139-34629172",-0.108219230313315,0.96,1.7268492814289,0
"Baz2a","MmuALTA0002663-6/6","chr10:128113460-128113681",-0.106722206422331,0.954,1.97301724166447,0.02
"Baz2a","MmuALTA0002663-5/6","chr10:128113463-128113681",0.106701142400495,0.954,1.97292082050897,0.02
"Add1","MmuALTA0001225-2/3","chr5:34629136-34629172",0.106609364336364,0.957333333333333,1.61108681938226,0
"Rbm26","MmuALTA0014959-3/3","chr14:105150277-105150408",0.105978318862914,0.996666666666667,2.50567900055708,0
"Rbm26","MmuALTA0014959-2/3","chr14:105150277-105150393",-0.105978318862914,0.996666666666667,2.50567900055708,0
"Anapc11","MmuALTD0001281-1/7","chr11:-120598604",0.10155995420942,0.956,2.0845341888515,0.01
"Mrgbp","MmuALTA0000120-4/6","chr2:180584694-180584871",-0.0963552742528144,0.998666666666667,4.25960696001588,0
"Mrgbp","MmuALTA0000120-1/6","chr2:180584797-180584871",0.0937676833132564,0.998666666666667,4.20177019307622,0
"Cecr2","MmuALTA0003825-2/3","chr6:120761141-120761717",0.0930025134595014,0.952,2.18840702373642,0.02
"Paics","MmuALTD0009883-2/6","chr5:-76951405",-0.0905665096406635,0.988666666666667,3.07080111660679,0.04
"BC031181","MmuALTD0002056-3/5","chr18:-75006114",0.088888127415349,0.958666666666667,2.07903280713445,0.02
"Cecr2","MmuALTA0003825-1/3","chr6:120761144-120761717",-0.0878988907996234,0.952666666666667,2.05162547344916,0.04
"Trappc8","MmuALTA0018786-3/3","chr18:20865950-20866206",0.0850803686132805,0.985333333333333,2.75939830750703,0
"Ankle2","MmuALTA0001585-1/2","chr5:110237658-110237851",0.0835185570832946,0.995333333333333,2.7655772723098,0
"Ankle2","MmuALTA0001585-2/2","chr5:110237655-110237851",-0.0835185570832946,0.995333333333333,2.76557727230979,0
"Npm2","MmuALTA1035557-2/4","chr14:70652532-70652695",-0.083454542306201,0.991333333333333,2.2704083769399,0
"Trappc8","MmuALTA0018786-2/3","chr18:20865950-20866203",-0.0828044153182883,0.968,2.08143643759623,0
"Npm2","MmuALTA1035557-3/4","chr14:70652532-70652711",0.0793032120151707,0.996666666666667,2.78920281458772,0
"Dusp12","MmuALTA0005916-2/2","chr1:170880915-170881041",-0.078607686142604,0.986666666666667,2.79923902360686,0
"Dusp12","MmuALTA0005916-1/2","chr1:170880915-170881028",0.078607686142604,0.986666666666667,2.79867123378616,0
"Fam192a","MmuALTD1019153-3/5","chr8:94601403-94601551",-0.0785606573780398,0.952,1.65530161897605,0.01
"Gm15246","MmuALTA1043760-1/2","chrX:169323005-169323101",0.0775652898944084,0.961333333333333,2.48625156635445,0
"Gm15246","MmuALTA1043760-2/2","chrX:169323002-169323101",-0.0775652898944084,0.961333333333333,2.48625156635444,0
"Popdc2","MmuALTD0010753-2/3","chr16:38373819-38374377",-0.0750316081031358,0.966,3.45800120815326,0
"Tmem70","MmuALTA0018479-2/2","chr1:16667665-16667773",0.0748084997938815,0.972666666666667,1.75049325168445,0
"Tmem70","MmuALTA0018479-1/2","chr1:16667668-16667773",-0.0748084997938815,0.972666666666667,1.75049325168446,0
"Supt20","MmuALTA0006920-2/5","chr3:54722557-54722640",-0.0747290925443301,0.952666666666667,1.62914806730873,0
"Myo5b","MmuALTD1011988-1/2","chr18:74714826-74714959",-0.0705681575707512,0.996666666666667,2.59710709920326,0
"Myo5b","MmuALTD1011988-2/2","chr18:74714826-74714974",0.0705681575707512,0.996666666666667,2.59710709920327,0
"Pfdn1","MmuALTD1041415-1/6","chr18:36454453-",-0.0704869771393077,0.956666666666667,2.59016442007092,0.01
"Lipt1","MmuALTD0007789-1/5","chr1:37872562-37872588",0.0697284418300983,0.966666666666667,2.79702241880545,0.01
"Rif1","MmuALTD0011876-1/2","chr2:52093503-52093565",0.058158525212902,0.959333333333333,2.05595372992933,0
"Rif1","MmuALTD0011876-2/2","chr2:52093503-52093589",-0.0581585252129019,0.959333333333333,2.05595372992932,0
"Anapc5","MmuALTA0001553-1/3","chr5:122800451-122800593",0.0577084328459161,0.951333333333333,2.11247030808016,0.04
"Odf2","MmuALTA0012492-1/3","chr2:29893038-29893154",-0.0523180109848343,0.968,2.27091935335918,0
"Odf2","MmuALTA0012492-2/3","chr2:29893001-29893154",0.0509343574763147,0.963333333333333,2.19246933724781,0
"Usp19","MmuALTA0019591-1/3","chr9:108495040-108495192",0.0494192333629725,0.975333333333333,2.03972978585322,0.01
"Usp19","MmuALTA0019591-2/3","chr9:108495034-108495192",-0.0494192333629725,0.975333333333333,2.03972978585322,0.01
"Pard6a","MmuALTD0009926-3/3","chr8:105702174-105702396",-0.0474129068258702,0.977333333333333,2.94992544669653,0.01
"Pard6a","MmuALTD0009926-2/3","chr8:105702174-105702306",0.0474129068258701,0.977333333333333,2.94992544669654,0.01
"Anapc5","MmuALTA0001556-3/3","chr5:122791608-122791755",-0.0399772282864679,0.997333333333333,3.25979459522993,0
"Anapc5","MmuALTA0001556-2/3","chr5:122791608-122791735",0.0399685417047218,0.997333333333333,3.25822481850816,0
"Txnrd3","MmuALTD1000320-3/4","chr6:-89644542",-0.038380108995445,0.968666666666667,2.74011788787738,0
"Gm1965","MmuALTA0007874-2/6","chr6:89144613-89144676",-0.032283641628075,0.976666666666667,2.97698567745338,0.01
"Rab7","MmuALTD0011441-2/3","chr6:88019245-88019783",0.0294807795584887,0.962666666666667,2.68999505957901,0
"Rnf40","MmuALTA0015402-3/4","chr7:127591300-127591436",0.0240860550623595,0.974666666666667,2.61589615076874,0.03
"Fbxl6","MmuALTD1039999-6/6","chr15:76538325-",0.0151182217143392,0.953333333333333,1.94030551306721,0
