"GENE","EVENT","COORD","deltapsi","Pdiff","Fstat","FDR"
"Aebp2","MmuEX1003409","chr6:140653591-140653666",-0.433654199581818,0.974,2.31523105415213,0
"Pid1","MmuEX1020016","chr1:84309813-84309878",-0.394096742875704,0.990666666666667,3.00788702898751,0
"Myef2","MmuEX0030334","chr2:125097563-125097634",0.383340665861327,0.994666666666667,2.60824908561041,0
"Gm15915","MmuEX0020939","chr10:93675516-93675600",0.375056478044821,0.998666666666667,4.08918431280163,0.01
"Pid1","MmuEX1020015","chr1:84311649-84311685",-0.350661030674885,1,3.3899349905876,0
"Nebl","MmuEX0031359","chr2:17379750-17379842",-0.338790981752508,0.991333333333333,4.15573561444002,0
"Nebl","MmuEX0031365","chr2:17443715-17443825",-0.335039064822673,0.95,1.82552265256499,0
"Taok1","MmuEX0046272","chr11:77601699-77601761",0.326711841438454,0.997333333333333,2.65299249138834,0
"Cwc22","MmuEX0013226","chr2:77940302-77940362",-0.310987769788717,0.958,1.66455767530138,0
"Ccdc62","MmuEX0009849","chr5:123938150-123938197",-0.301336057369999,0.998666666666667,3.42198476901372,0
"Utp14a","MmuEX0051143","chrX:48274801-48275188",0.293348452661565,1,2.8719928448001,0
"Nebl","MmuEX0031357","chr2:17388692-17388784",-0.292883041660534,0.970666666666667,2.36754067220894,0
"Nebl","MmuEX0031366","chr2:17434879-17434980",-0.288042337041365,0.958,2.12989984510715,0
"Ccdc136","MmuEX0009558","chr6:29412902-29413087",-0.282112553984733,0.981333333333333,3.6725159981084,0
"Utp14a","MmuEX0051144","chrX:48277222-48277619",0.276539482326759,1,3.14046268114347,0
"Nebl","MmuEX0031364","chr2:17450200-17450310",-0.274028461558055,0.966,2.54876694759366,0.02
"Disp1","MmuEX1008528","chr1:183173515-183173623",-0.272618902553786,0.994,3.24938884415862,0
"Fam19a2","MmuEX0018240","chr10:123430712-123430923",-0.268193626074013,0.994,3.85200825386725,0
"Tmc4","MmuEX0047573","chr7:3670938-3671101",0.265430768509269,0.984666666666667,3.0799875277271,0
"Ccdc136","MmuEX0009555","chr6:29411710-29411868",-0.265288684325478,1,4.01886962222719,0
"Slc37a3","MmuEX0043214","chr6:39372079-39372137",-0.263788655534947,0.973333333333333,2.06959695641465,0
"Sfi1","MmuEX0041929","chr11:3144792-3144970",0.258752979324529,0.970666666666667,2.03766988486111,0
"Ccdc136","MmuEX0009557","chr6:29412364-29412534",-0.246057352821115,0.990666666666667,3.11203828758449,0
"Nebl","MmuEX0031363","chr2:17452490-17452594",-0.244122869638451,0.957333333333333,2.61953770007613,0.03
"Nf2","MmuEX0031553","chr11:4780578-4780622",-0.240640236028719,0.963333333333333,1.73605536974506,0
"Abi3bp","MmuEX0003274","chr16:56595240-56595314",-0.24048933023922,0.966666666666667,2.44028619345365,0.04
"Adcyap1r1","MmuEX0004031","chr6:55487659-55487742",0.23578345737282,0.999333333333333,5.63921892593953,0.01
"Midn","MmuEX0029010","chr10:80153591-80153719",0.234821806977386,0.968666666666667,2.35501699763385,0.02
"Utp14a","MmuEX0051142","chrX:48273899-48273976",0.224384129421073,0.997333333333333,2.35926953700218,0
"Lgr6","MmuEX1016193","chr1:135081659-135081770",-0.195790383196807,0.996,3.52168606163723,0
"Utp14a","MmuEX0051140","chrX:48273022-48273116",0.193961440777859,0.958,1.759553374495,0
"Zfp839","MmuEX0053655","chr12:110860796-110861023",0.189898947148296,0.98,1.80032988987504,0
"Eml6","MmuEX1009452","chr11:29893399-29893555",0.189411518203948,0.968,2.59299961150079,0.05
"Ptk2","MmuEX0037739","chr15:73391759-73391880",-0.183404635533075,0.966,2.2509974326933,0
"Tmem62","MmuEX0048030","chr2:120993478-120993637",-0.170884377529495,0.974,2.57924143030612,0
"Nt5dc1","MmuEX0032496","chr10:34398114-34398195",0.161201133510117,0.999333333333333,4.44272239511375,0
"Apc","MmuEX0005542","chr18:34289838-34289942",0.157780434386473,0.969333333333333,2.74222332200154,0
"Gm15962","MmuEX1011984","chr19:12718472-12718516",0.154266683889337,0.952,2.36855679441384,0
"Prdm16","MmuEX0036959","chr4:154322271-154322445",0.148347012134805,0.953333333333333,1.73105682982025,0
"Zfp532","MmuEX0053435","chr18:65651560-65651722",0.147361620435485,0.950666666666667,2.04110377938922,0
"Mef2b","MmuEX1017053","chr8:70159389-70159449",-0.147085875774545,1,5.57677487068245,0
"Plekhb1","MmuEX0035749","chr7:100649928-100650032",0.146649830818703,0.959333333333333,2.24413897966579,0.04
"N4bp2","MmuEX0030695","chr5:65786219-65786361",0.145661894213437,0.985333333333333,2.31291560117692,0
"Tanc2","MmuEX1025468","chr11:105758922-105759032",0.144572370192766,0.988666666666667,3.52866060315021,0
"Rab3il1","MmuEX1021922","chr19:10018195-10018359",0.143984965560691,0.99,2.85646097141476,0
"Ralgps1","MmuEX0038663","chr2:33155288-33155335",0.140977379577938,0.952,1.65358619706815,0
"Acbd5","MmuEX6099264","chr2:23068880-23069065",0.136355067263033,0.951333333333333,1.98418187753858,0
"Ube2cbp","MmuEX0050131","chr9:86448763-86448853",0.12967841184368,0.955333333333333,1.82342773443621,0
"Dctn4","MmuEX0013957","chr18:60545357-60545377",0.126089087617223,0.98,2.15763387063747,0.01
"Agtpbp1","MmuEX0004338","chr13:59531057-59531203",-0.120780159998139,0.953333333333333,2.56674340527842,0.01
"Fetub","MmuEX0019085","chr16:22929075-22929309",-0.119774240634698,0.964666666666667,1.94207474785425,0
"","MmuEX1000387","chr18:83054327-83054449",0.118832223917063,0.952666666666667,1.8903487380828,0
"Fam161a","MmuEX0018041","chr11:23021494-23021661",-0.118208044540075,0.991333333333333,2.15818715433007,0
"","MmuEX1000496","chr5:108691340-108691432",-0.117709271527498,0.954,2.60822512356082,0
"Ankrd27","MmuEX0005073","chr7:35622309-35622349",0.114325442294897,0.959333333333333,2.20258294113088,0
"Ubn2","MmuEX0050282","chr6:38489254-38489304",-0.113942340780698,0.976,2.5799322353155,0
"Sipa1l2","MmuEX0042431","chr8:125433178-125433309",0.112441992615127,0.986,2.99972363921563,0
"Zfp957","MmuEX1028732","chr14:79223379-79223863",-0.112213325643858,0.994,3.11626485879381,0
"Asap1","MmuEX0006335","chr15:64110906-64111076",0.110849115950459,0.996666666666667,2.49548747709064,0
"Bbip1","MmuEX1005077","chr19:53933491-53933570",-0.106916606159292,0.965333333333333,2.45889229445264,0
"Fgfr1","MmuEX1010430","chr8:25564340-25564433",-0.106751151185764,0.950666666666667,1.37362423210717,0.01
"Zfp532","MmuEX0053436","chr18:65656351-65656632",0.106389135960811,0.958,1.87477500783531,0.02
"Slc9a3","MmuEX1024146","chr13:74165811-74166060",0.104825725674351,0.95,2.63371266121697,0.01
"Ccdc136","MmuEX0009561","chr6:29417072-29417578",-0.10479093247445,0.965333333333333,1.83124435173458,0
"Ogfod2","MmuEX0033045","chr5:124114065-124114192",0.10104742177329,0.983333333333333,1.82602376799553,0
"Pdlim7","MmuEX0034296","chr13:55506819-55507123",0.0992284746330803,0.98,2.34976614232662,0
"","MmuEX1000246","chr14:105197885-105198105",0.0991138238813824,0.962,2.48646369729602,0.01
"Slc7a8","MmuEX6041365","chr14:54735724-54735877",0.0979019572299673,0.959333333333333,1.99134942810882,0.01
"Srrm2","MmuEX0044969","chr17:23806935-23807202",0.0974697380714438,0.996666666666667,2.88039573830311,0
"Armc8","MmuEX0006187","chr9:99551543-99551619",0.0963186257572126,1,5.29510181851586,0
"Gpatch2l","MmuEX0000452","chr12:86265182-86265249",-0.0957574250300337,1,6.04316104838509,0
"Tnk2","MmuEX0048312","chr16:32680906-32680995",0.0943481013254495,0.961333333333333,2.45651002381553,0
"","MmuEX1000494","chr17:49311886-49311956",-0.0933620366408028,0.998,2.10747696951484,0
"Ppp3cc","MmuEX0036801","chr14:70220017-70220046",0.0927766089666678,0.956666666666667,2.23201195772827,0.01
"Chrng","MmuEX0011392","chr1:87207387-87207542",-0.0898247682300645,0.986666666666667,2.99773475746271,0
"Apbb2","MmuEX0005529","chr5:66492058-66492172",-0.0872445602896244,0.999333333333333,4.22901444771264,0
"Chsy1","MmuEX1006841","chr7:66117061-66117313",-0.0850796282358146,0.980666666666667,2.47421934478623,0
"Itga6","MmuEX0024617","chr2:71853534-71853663",-0.0830570386703643,0.996,3.11953077098181,0
"Kifc3","MmuEX0025637","chr8:95126526-95126707",0.0810335780850555,0.962,1.71718638203136,0
"Fam179b","MmuEX0018134","chr12:64970226-64970255",-0.0784812919333998,0.986,3.01194445231535,0
"Ddb2","MmuEX0013997","chr2:91218744-91218889",0.0776764877775121,0.994,4.00983866700064,0
"Myo5a","MmuEX0030527","chr9:75196126-75196200",0.0775360886400511,0.982,2.6704858466883,0
"Kansl1","MmuEX0000593","chr11:104368680-104368778",-0.0770680995298711,0.980666666666667,2.58094808099494,0
"Cib1","MmuEX0011419","chr7:80232344-80232378",0.0760147512453062,0.996,3.8176663971256,0
"Sytl4","MmuEX0046067","chrX:133943560-133943668",0.0759646147835737,0.953333333333333,1.66564173249937,0.01
"Cep83","MmuEX1006572","chr10:94720122-94720353",-0.075493060425853,0.952666666666667,2.15338273482454,0.01
"Rnf214","MmuEX0040148","chr9:45866947-45867051",-0.0717108190155665,0.95,1.82759498983418,0.01
"Epha4","MmuEX0017076","chr1:77380864-77381013",-0.070551219906036,1,3.34942258677953,0
"Zfand3","MmuEX0052969","chr17:30153303-30153368",-0.0677918730790352,0.992,2.71867696079932,0
"Fbxw27","MmuEX1010310","chr9:109770473-109770514",0.0640555609112843,0.998666666666667,3.02681876597725,0
"Tgds","MmuEX0047092","chr14:118127499-118127585",-0.0628720491746971,0.994,2.46446057211794,0
"Dus3l","MmuEX0015878","chr17:56768518-56768628",0.0628041858400361,0.954666666666667,1.97509818509622,0
"Camkmt","MmuEX0000613","chr17:85393458-85393512",0.0619174839022578,0.956666666666667,1.98513199811819,0
"Ddb2","MmuEX0013998","chr2:91217307-91217406",0.0585420933502556,0.956666666666667,1.82323273852386,0.03
"Ttc23","MmuEX0049470","chr7:67662327-67662526",0.0551010036048177,0.962666666666667,2.1669282864494,0
"Hnrnpab","MmuEX0023097","chr11:51601750-51601890",0.0542539666557218,0.962,2.83630148056078,0
"Elavl2","MmuEX0016666","chr4:91254141-91254179",-0.049409243106518,0.953333333333333,2.00580700329893,0
"Tmpo","MmuEX0048159","chr10:91152628-91152738",-0.0483203677053953,0.962,1.57686922302623,0
"Mknk1","MmuEX0029100","chr4:115874759-115874796",0.0467856920192562,0.990666666666667,2.90016465950907,0
"Lrig2","MmuEX0026819","chr3:104476030-104476210",0.045693062877753,0.959333333333333,2.24837843316321,0.04
"Mprip","MmuEX0029582","chr11:59741991-59742098",-0.0456895338180512,0.973333333333333,2.01483270026865,0
"Osbp2","MmuEX0033183","chr11:3715088-3715234",-0.0452762643396538,0.991333333333333,2.86687426510704,0
"Hirip3","MmuEX0022948","chr7:126864320-126864485",-0.0432820374499879,0.964666666666667,1.76376619350737,0
"Zfp653","MmuEX0053534","chr9:22056414-22056528",0.0420659423857068,0.999333333333333,2.99672603354125,0
"Miox","MmuEX0029048","chr15:89335840-89335907",-0.0402112928015795,0.966666666666667,2.20499424532439,0
"Incenp","MmuEX0024134","chr19:9877677-9877796",-0.0390726541191149,0.992666666666667,2.46081828847582,0
"Espl1","MmuEX6056835","chr15:102304926-102305165",0.0381243432595011,0.962666666666667,1.70446969286487,0
"Golga2","MmuEX0021421","chr2:32298600-32298638",-0.0379002977984327,0.977333333333333,2.79874947974934,0
"Caprin2","MmuEX0009100","chr6:148868989-148869634",-0.0364734980482573,0.97,2.44825065515442,0
"Tbp","MmuEX0046604","chr17:15514230-15514397",0.0323038925398031,0.971333333333333,1.69127866355078,0
"Mb21d1","MmuEX0016130","chr9:78434313-78434415",0.0316787507540126,0.990666666666667,3.12504432980855,0
"Usp3","MmuEX6066880","chr9:66520273-66520386",0.0304296184413939,0.972666666666667,1.95723043158988,0
"Nap1l4","MmuEX0030856","chr7:143518850-143518885",0.0300814476887182,0.967333333333333,1.9753627232649,0
"Mprip","MmuEX0029583","chr11:59767955-59768074",-0.0288791570162358,0.968666666666667,1.82371884525984,0.01
"Cnppd1","MmuEX0000672","chr1:75142058-75142560",0.0279217437472332,0.986666666666667,2.47195587439918,0
"Ccdc155","MmuEX0009640","chr7:45186652-45186706",-0.0273942618628664,0.980666666666667,2.85496736720438,0
